seq,wall_ts,mono_ts,can_id,is_extended,is_remote,is_error,is_local,direction,dlc,data_hex,interface
58,1786725747.335546,617418.750658348,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
59,1786725747.3876288,617418.802744723,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
60,1786725747.3887455,617418.803852723,1023,0,0,0,0,BUS_RX,8,630F9B0000000001,can1
61,1786725747.4356012,617418.850713848,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
62,1786725747.4856138,617418.900723556,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
63,1786725747.636861,617419.051971348,1023,0,0,0,0,BUS_RX,8,630F9B0000000001,can1
64,1786725747.6617627,617419.076874931,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
65,1786725747.6627257,617419.07783414,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
66,1786725747.8856833,617419.30079589,1023,0,0,0,0,BUS_RX,8,630F990000000001,can1
67,1786725747.9354527,617419.350564265,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
68,1786725747.9855537,617419.400666098,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
69,1786725748.035487,617419.450599932,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
70,1786725748.0868485,617419.501979598,854,0,0,0,0,BUS_RX,8,64150B00F0000000,can1
71,1786725748.135698,617419.550815973,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
72,1786725748.138188,617419.553300848,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
73,1786725748.1855,617419.600612932,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
74,1786725748.2355344,617419.650646557,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
75,1786725748.2856348,617419.700747265,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
76,1786725748.335422,617419.75053489,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
77,1786725748.385641,617419.800753723,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
78,1786725748.3865933,617419.80169989,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
79,1786725748.435406,617419.850518057,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
80,1786725748.485379,617419.900491182,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
81,1786725748.6354065,617420.05051714,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
82,1786725748.660882,617420.07599514,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
83,1786725748.661964,617420.077071932,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
84,1786725748.886496,617420.301609099,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
85,1786725748.940768,617420.35588189,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
86,1786725748.9855292,617420.400641307,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
87,1786725749.03551,617420.450623099,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
88,1786725749.0953808,617420.51049364,854,0,0,0,0,BUS_RX,8,64151200F0000000,can1
89,1786725749.1356657,617420.550778474,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
90,1786725749.1367066,617420.551813932,1023,0,0,0,0,BUS_RX,8,630F980000000001,can1
91,1786725749.1857514,617420.60086439,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
92,1786725749.2355218,617420.650634557,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
93,1786725749.2854042,617420.700516266,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
94,1786725749.3353865,617420.750499016,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
95,1786725749.387748,617420.802861516,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
96,1786725749.3888745,617420.803982807,1023,0,0,0,0,BUS_RX,8,630F9C0000000001,can1
97,1786725749.4354646,617420.850576641,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
98,1786725749.4853814,617420.900493099,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
99,1786725749.635369,617421.050479349,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
100,1786725749.660214,617421.075326099,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
101,1786725749.6680346,617421.083143807,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
102,1786725749.8853986,617421.300511099,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
103,1786725749.9358304,617421.350941807,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
104,1786725749.985357,617421.400468724,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
105,1786725750.0353506,617421.450460433,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
106,1786725750.0852923,617421.500403016,854,0,0,0,0,BUS_RX,8,64151300F0000000,can1
107,1786725750.1356003,617421.550714558,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
108,1786725750.1368308,617421.551938266,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
109,1786725750.1854374,617421.600550474,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
110,1786725750.2353487,617421.650458099,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
111,1786725750.2853577,617421.700469183,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
112,1786725750.3353882,617421.750499808,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
113,1786725750.385574,617421.800687766,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
114,1786725750.3867085,617421.801815058,1023,0,0,0,0,BUS_RX,8,630F980000000001,can1
115,1786725750.435558,617421.850669641,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
116,1786725750.4853294,617421.900441974,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
117,1786725750.635694,617422.050800891,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
118,1786725750.660773,617422.075885433,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
119,1786725750.6648903,617422.079997475,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
120,1786725750.8855386,617422.300651141,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
121,1786725750.9355695,617422.350682683,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
122,1786725750.9854903,617422.400603308,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
123,1786725751.0355413,617422.450654058,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
124,1786725751.089564,617422.504676933,854,0,0,0,0,BUS_RX,8,64151100F0000000,can1
125,1786725751.1357,617422.5508131,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
126,1786725751.1371377,617422.5522491,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
127,1786725751.1854055,617422.600518558,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
128,1786725751.2407384,617422.655851183,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
129,1786725751.2942183,617422.709330266,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
130,1786725751.3357384,617422.750850641,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
131,1786725751.3898706,617422.804990892,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
132,1786725751.3909714,617422.806077892,1023,0,0,0,0,BUS_RX,8,630F980000000001,can1
133,1786725751.4355943,617422.8507071,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
134,1786725751.4906037,617422.905715558,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
135,1786725751.635567,617423.05067935,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
136,1786725751.6634436,617423.078555975,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
137,1786725751.6644752,617423.079582433,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
138,1786725751.8886633,617423.303775725,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
