sample_id,wall_ts,mono_ts,cell_index,voltage_v,reconstructed,source,pack_voltage_v
1,1786725744.819,617416.997544889,1,3.487,0,json:reported,55.63
1,1786725744.819,617416.997544889,2,3.478,0,json:reported,55.63
1,1786725744.819,617416.997544889,3,3.496,0,json:reported,55.63
1,1786725744.819,617416.997544889,4,3.492,0,json:reported,55.63
1,1786725744.819,617416.997544889,5,3.494,0,json:reported,55.63
1,1786725744.819,617416.997544889,6,3.462,0,json:reported,55.63
1,1786725744.819,617416.997544889,7,3.509,0,json:reported,55.63
1,1786725744.819,617416.997544889,8,3.459,0,json:reported,55.63
1,1786725744.819,617416.997544889,9,3.483,0,json:reported,55.63
1,1786725744.819,617416.997544889,10,3.486,0,json:reported,55.63
1,1786725744.819,617416.997544889,11,3.422,0,json:reported,55.63
1,1786725744.819,617416.997544889,12,3.467,0,json:reported,55.63
1,1786725744.819,617416.997544889,13,3.484,0,json:reported,55.63
1,1786725744.819,617416.997544889,14,3.465,0,json:reported,55.63
1,1786725744.819,617416.997544889,15,3.473,0,json:reported,55.63
1,1786725744.819,617416.997544889,16,3.472999999999999,1,json:calculated,55.63
2,1786725744.819,617418.003318764,1,3.487,0,json:reported,55.63
2,1786725744.819,617418.003318764,2,3.478,0,json:reported,55.63
2,1786725744.819,617418.003318764,3,3.496,0,json:reported,55.63
2,1786725744.819,617418.003318764,4,3.492,0,json:reported,55.63
2,1786725744.819,617418.003318764,5,3.494,0,json:reported,55.63
2,1786725744.819,617418.003318764,6,3.462,0,json:reported,55.63
2,1786725744.819,617418.003318764,7,3.509,0,json:reported,55.63
2,1786725744.819,617418.003318764,8,3.459,0,json:reported,55.63
2,1786725744.819,617418.003318764,9,3.483,0,json:reported,55.63
2,1786725744.819,617418.003318764,10,3.486,0,json:reported,55.63
2,1786725744.819,617418.003318764,11,3.422,0,json:reported,55.63
2,1786725744.819,617418.003318764,12,3.467,0,json:reported,55.63
2,1786725744.819,617418.003318764,13,3.484,0,json:reported,55.63
2,1786725744.819,617418.003318764,14,3.465,0,json:reported,55.63
2,1786725744.819,617418.003318764,15,3.473,0,json:reported,55.63
2,1786725744.819,617418.003318764,16,3.472999999999999,1,json:calculated,55.63
3,1786725744.819,617419.008832556,1,3.487,0,json:reported,55.63
3,1786725744.819,617419.008832556,2,3.478,0,json:reported,55.63
3,1786725744.819,617419.008832556,3,3.496,0,json:reported,55.63
3,1786725744.819,617419.008832556,4,3.492,0,json:reported,55.63
3,1786725744.819,617419.008832556,5,3.494,0,json:reported,55.63
3,1786725744.819,617419.008832556,6,3.462,0,json:reported,55.63
3,1786725744.819,617419.008832556,7,3.509,0,json:reported,55.63
3,1786725744.819,617419.008832556,8,3.459,0,json:reported,55.63
3,1786725744.819,617419.008832556,9,3.483,0,json:reported,55.63
3,1786725744.819,617419.008832556,10,3.486,0,json:reported,55.63
3,1786725744.819,617419.008832556,11,3.422,0,json:reported,55.63
3,1786725744.819,617419.008832556,12,3.467,0,json:reported,55.63
3,1786725744.819,617419.008832556,13,3.484,0,json:reported,55.63
3,1786725744.819,617419.008832556,14,3.465,0,json:reported,55.63
3,1786725744.819,617419.008832556,15,3.473,0,json:reported,55.63
3,1786725744.819,617419.008832556,16,3.472999999999999,1,json:calculated,55.63
4,1786725744.819,617420.023811474,1,3.487,0,json:reported,55.63
4,1786725744.819,617420.023811474,2,3.478,0,json:reported,55.63
4,1786725744.819,617420.023811474,3,3.496,0,json:reported,55.63
4,1786725744.819,617420.023811474,4,3.492,0,json:reported,55.63
4,1786725744.819,617420.023811474,5,3.494,0,json:reported,55.63
4,1786725744.819,617420.023811474,6,3.462,0,json:reported,55.63
4,1786725744.819,617420.023811474,7,3.509,0,json:reported,55.63
4,1786725744.819,617420.023811474,8,3.459,0,json:reported,55.63
4,1786725744.819,617420.023811474,9,3.483,0,json:reported,55.63
4,1786725744.819,617420.023811474,10,3.486,0,json:reported,55.63
4,1786725744.819,617420.023811474,11,3.422,0,json:reported,55.63
4,1786725744.819,617420.023811474,12,3.467,0,json:reported,55.63
4,1786725744.819,617420.023811474,13,3.484,0,json:reported,55.63
4,1786725744.819,617420.023811474,14,3.465,0,json:reported,55.63
4,1786725744.819,617420.023811474,15,3.473,0,json:reported,55.63
4,1786725744.819,617420.023811474,16,3.472999999999999,1,json:calculated,55.63
5,1786725744.819,617421.031119766,1,3.487,0,json:reported,55.63
5,1786725744.819,617421.031119766,2,3.478,0,json:reported,55.63
5,1786725744.819,617421.031119766,3,3.496,0,json:reported,55.63
5,1786725744.819,617421.031119766,4,3.492,0,json:reported,55.63
5,1786725744.819,617421.031119766,5,3.494,0,json:reported,55.63
5,1786725744.819,617421.031119766,6,3.462,0,json:reported,55.63
5,1786725744.819,617421.031119766,7,3.509,0,json:reported,55.63
5,1786725744.819,617421.031119766,8,3.459,0,json:reported,55.63
5,1786725744.819,617421.031119766,9,3.483,0,json:reported,55.63
5,1786725744.819,617421.031119766,10,3.486,0,json:reported,55.63
5,1786725744.819,617421.031119766,11,3.422,0,json:reported,55.63
5,1786725744.819,617421.031119766,12,3.467,0,json:reported,55.63
5,1786725744.819,617421.031119766,13,3.484,0,json:reported,55.63
5,1786725744.819,617421.031119766,14,3.465,0,json:reported,55.63
5,1786725744.819,617421.031119766,15,3.473,0,json:reported,55.63
