seq,wall_ts,mono_ts,can_id,is_extended,is_remote,is_error,dlc,data_hex,interface
1,1786717964.2672932,609635.812010304,773,0,0,0,8,0000000000000000,can0
2,1786717964.2685757,609635.81329147,775,0,0,0,8,1234567856494300,can0
3,1786717964.5544636,609636.099182387,435295296,1,0,0,8,007B151801047404,can0
4,1786717964.5554018,609636.10011872,435294784,1,0,0,8,600B040000FFFFFF,can0
5,1786717964.5561848,609636.100898554,435294784,1,0,0,8,61FF4A00FFFFFFFF,can0
6,1786717964.5569212,609636.101637345,435357504,1,0,0,8,04011A0C8C0000FF,can0
7,1786717964.5576441,609636.102357679,435294784,1,0,0,8,600B040103FFFFFF,can0
8,1786717964.5584433,609636.103156887,435294784,1,0,0,8,61FFFFFFFFFFFFFF,can0
9,1786717964.5631614,609636.10870372,435357504,1,0,0,8,0402620C800000FF,can0
10,1786717964.5684743,609636.113190262,435294784,1,0,0,8,400B040203FFFFFF,can0
11,1786717964.569262,609636.113975512,435294784,1,0,0,8,41FFFFFFFFFFFFFF,can0
12,1786717964.5722213,609636.116935554,435357504,1,0,0,8,0403090C570000FF,can0
13,1786717964.5730042,609636.117716929,435294784,1,0,0,8,400B040303FFFFFF,can0
14,1786717964.5737348,609636.118448429,435294784,1,0,0,8,41FFFFFFFFFFFFFF,can0
15,1786717964.5745406,609636.119254679,435357504,1,0,0,8,04048607900000FF,can0
16,1786717964.5777063,609636.122425679,435294784,1,0,0,8,400B040403FFFFFF,can0
17,1786717964.579562,609636.124276179,435294784,1,0,0,8,41FFFFFFFFFFFFFF,can0
18,1786717964.5831287,609636.127844137,435357248,1,0,0,8,04FFFC00FFFFFFFF,can0
19,1786717964.588333,609636.133050012,233966912,1,0,0,8,0001FDFFFFFFFFFF,can0
20,1786717964.6226933,609636.167412554,485490497,1,0,0,8,66998FEDC3000000,can0
21,1786717964.6257396,609636.17045872,485490497,1,0,0,8,6699DBED48120000,can0
22,1786717964.6742392,609636.218982929,485490497,1,0,0,8,6699BCEDC2B50100,can0
23,1786717964.6755183,609636.220234095,485490497,1,0,0,8,6699B1EDA6507F05,can0
24,1786717964.6803305,609636.225046054,485490497,1,0,0,8,6699CCECEF7B0000,can0
25,1786717964.6812506,609636.225964554,485490497,1,0,0,8,6699CBEC9F740000,can0
26,1786717964.6820207,609636.226735012,485490497,1,0,0,8,6699DCECF2AB0000,can0
27,1786717964.6846535,609636.22937372,485490497,1,0,0,8,6699DBEC5F780000,can0
28,1786717964.6883218,609636.233042845,485490497,1,0,0,8,6699ECECF88A0000,can0
